filename,width,height,thickness,sphericity,volume_hull,surface_area_hull,ratio_lw,ratio_tl,ratio_tw,solidity_3d,mean_curvature,curvature_dev,bbox_w_px,bbox_h_px,distance_z,color_a,color_b,mask_area_px,mask_perimeter_px,mask_2d_roundness,mask_2d_solidity,ellipse_major_px,ellipse_minor_px,ellipse_aspect_ratio,ellipse_angle_deg,depth_range,depth_iqr,depth_p25,depth_p75,depth_skewness,depth_kurtosis,depth_lap_std,color_l,color_std_a,color_std_b,color_hue_mean,color_hue_std,color_saturation,aruco_scale,aruco_distance,mango_w_metric_aruco,mango_h_metric_aruco,mango_area_px,mango_area_metric_aruco
mango36_bac_r.jpg,0.03270636571705468,0.045150361369086275,0.014518648386001587,0.6152883209906276,1.0051169870670735e-05,0.0014668320092696746,1.3804762583432708,0.3215621746040392,0.4439089476221096,0.4688100422694844,0.0001420355256414041,0.00028530062991194427,271.0,372.0,0.07157324999570847,130.81947640231118,164.87684716469806,77731.5,1114.849847316742,0.7859124253354232,0.9901029824796042,372.11248779296875,268.969482421875,0.722817672734275,3.3263168334960938,0.011420346796512604,0.00474751740694046,0.06955061107873917,0.07429812848567963,0.8818967938423157,0.04689383506774902,0.00036352273309603333,103.15863885053945,3.4999555248736307,12.945061691686664,21.830763920846756,8.802491027194414,190.30216802168022,0.00020921947725582868,0.14213533699512482,0.05669847833632957,0.07782964553916827,78228.0,0.0034242577897729827
mango36_bac_r_hor.jpg,0.03623148438257959,0.05103582867258459,0.013074345886707306,0.566567839318793,1.1906544499473236e-05,0.0017637613886247688,1.4086044097360544,0.25617975110357283,0.36085592708957753,0.49249800001230326,0.00014609433128498495,0.0002692772541195154,267.0,376.0,0.08232051879167557,130.83717224764501,165.04313520541484,77953.5,1134.9331065416336,0.7605100431421905,0.9866345186338352,377.7550964355469,264.731201171875,0.7008011372178636,176.52537536621094,0.010281622409820557,0.004584945738315582,0.08059398084878922,0.0851789265871048,0.8619135022163391,-0.12930727005004883,0.0003719927917700261,103.14674127799518,3.526925655194636,12.899617155470432,21.796025544607463,8.412107906405161,190.8827166001708,0.00020921946270391345,0.14213533699512482,0.05586159654194489,0.07866651797667146,78451.0,0.0034340186441728354
mango36_bac_r_ver.jpg,0.043681990118364766,0.060568637196176375,0.01808493584394455,0.5993878402476049,2.0174950266655353e-05,0.0024178790876839607,1.3865814499763858,0.29858581406362283,0.4140135510067177,0.42164337604376617,0.00016578935901634395,0.00023015747137833387,269.0,374.0,0.09812677651643753,130.8478869243368,165.487948311216,77044.5,1123.678274989128,0.7667742790688866,0.9882441220610305,377.436767578125,261.76190185546875,0.693525179158088,173.10166931152344,0.01467035710811615,0.006837904453277588,0.09510088711977005,0.10193879157304764,0.5677284598350525,-0.5868551731109619,0.00024446926545351744,104.00185708205981,3.48656485856785,12.413441285851805,21.717156085167847,7.0519781905573655,192.2112172914974,0.0002092194918077439,0.142135351896286,0.05628004329628311,0.07824808993609622,77541.0,0.003394186355428367
mango36_bot_r.jpg,0.044186122353998936,0.04810939693855919,0.024811506271362305,0.7795184495063483,2.4955248749869113e-05,0.0024512022606913695,1.088789746091064,0.5157309766956596,0.5615225991677636,0.47314359890076124,0.00033189781242981553,0.0006356303347274661,246.0,268.0,0.1037679985165596,127.35191849947634,161.79655336570502,52128.5,877.4528790712357,0.8508195993286496,0.9933211379790011,270.94134521484375,246.06919860839844,0.9082009924077004,13.36237621307373,0.018700264394283295,0.008199095726013184,0.10030201077461243,0.10850110650062561,0.7819433808326721,-0.18280816078186035,0.0007259530830197036,89.45554603446634,3.0109805526814153,11.875468892788103,23.276054460630295,4.471077808554273,195.57564505379415,0.00023603621229995042,0.16035355627536774,0.058064908225787804,0.06325770489638671,52515.0,0.0029257731060403852
mango36_bot_r_hor.jpg,0.04602509765265912,0.050206445166301565,0.021829605102539062,0.7359368524102765,2.379582474932198e-05,0.00246887084369934,1.0908492915147756,0.4347968678171032,0.4742978552111306,0.47173781509150564,0.00028927679522894323,0.0005403868271969259,247.0,270.0,0.1108979731798172,127.48195045672114,161.72037986994414,52056.0,875.8376550674438,0.8527729809290048,0.9921097770154373,271.74749755859375,244.96353149414062,0.9014380397056719,164.44078063964844,0.017126403748989105,0.007857546210289001,0.1075790524482727,0.1154365986585617,0.6520994305610657,-0.45318055152893066,0.000610358314588666,89.17385915063217,3.039317437743504,11.980137430881662,23.113064703751025,4.091015848749126,195.33435038806994,0.000235941304708831,0.16028907895088196,0.05827750226308126,0.06370415227138437,52439.0,0.0029191899452992057
mango36_bot_r_ver.jpg,0.04611001455269357,0.04968827911023115,0.017396792769432068,0.6874675119905479,1.8338064471425997e-05,0.0022666499531223626,1.0776027635699055,0.35011864127630754,0.37728881541668946,0.460081838460075,0.00021634991571772844,0.00031299213878810406,245.0,264.0,0.11642561107873917,127.46981960019502,161.89080448561677,50880.0,883.269113779068,0.8195413638372991,0.9871273778458971,268.92926025390625,242.8863525390625,0.9031607505622272,166.11520385742188,0.01407303661108017,0.006927892565727234,0.11328177899122238,0.12020967155694962,0.4382854402065277,-0.7880737781524658,0.00038331199903041124,89.34406630911751,3.043862816402307,11.876293628582754,23.191399317406145,4.161933333281212,196.2840565577767,0.000235941304708831,0.16028907895088196,0.0578056196536636,0.06228850444313139,51275.0,0.0028543920449515966
mango36_fro_r.jpg,0.040800191470374905,0.041883431587348946,0.01931671053171158,0.7658968552265839,1.5890808288620682e-05,0.0018619813646845683,1.0265498782710514,0.4612017162783354,0.4734465657039251,0.4814025187653273,0.00023486462305299938,0.0004554018087219447,270.0,278.0,0.08773352205753326,135.6102235882194,164.8557315590381,58789.5,953.6538895368576,0.8123217127610528,0.9894057456369175,284.3166198730469,266.4197692871094,0.9370530973745791,168.0857391357422,0.01461118459701538,0.006328403949737549,0.08537369966506958,0.09170210361480713,0.9264187812805176,0.08001041412353516,0.0005201043095439672,106.14104296136179,4.758016619003333,16.90582400274878,19.15608957038638,10.044846971990525,184.74876722507432,0.00022490965784527361,0.15279461443424225,0.060725607618223876,0.06252488488098606,59216.0,0.0029954031178380937
mango36_fro_r_hor.jpg,0.04333741047160346,0.04512985519673526,0.02026858925819397,0.7555320054178633,1.890600694570981e-05,0.0021145133212524423,1.0413602175493686,0.4491170904457105,0.46769267101168455,0.47692423720128496,0.0002348107664147392,0.00047944788821041584,267.0,279.0,0.09518442302942276,135.63414921554104,164.688253316275,58966.0,969.2691147327423,0.7887198724230653,0.9875480451184485,287.0776062011719,265.5993957519531,0.9251832606052605,11.686555862426758,0.015493817627429962,0.007105425000190735,0.09248983860015869,0.09959526360034943,0.740037739276886,-0.2665836811065674,0.0004971176967956126,105.92069557605548,4.825617000698917,17.015007102217368,19.385310753484614,11.440348950308852,183.98250959531345,0.0002249062090413645,0.15279227495193481,0.06004995781404432,0.06274883232254069,59404.0,0.003004820821413723
mango36_fro_r_ver.jpg,0.0467640964895157,0.048117596492455554,0.023559384047985077,0.7807096412350343,2.361276336705349e-05,0.00240804234902654,1.0289431445177886,0.48962096541291283,0.5037921357737979,0.44541661106821234,0.00025057673337869346,0.0005250609829090536,269.0,277.0,0.10139695554971695,135.6837167327896,164.979703383337,58297.5,969.0264731645584,0.7801686798442621,0.9873318034397203,282.1935729980469,266.718994140625,0.9451632484290172,15.377584457397461,0.01861928403377533,0.007890820503234863,0.09765792638063431,0.10554874688386917,0.7443819642066956,-0.12315082550048828,0.00048417781363241374,106.49093292921725,4.782995511635151,16.845904499262897,19.360077644775153,11.063844908986313,184.9664390675816,0.0002249062090413645,0.15279227495193481,0.06049977023212705,0.062299019904457964,58729.0,0.0029706774294796065
mango36_sia_r.jpg,0.045745602341257366,0.05574332512002675,0.01773054152727127,0.6390897753843847,1.9575770479409014e-05,0.002416065996147856,1.2185504675222643,0.3180747020220591,0.387590076855985,0.43296684690662246,0.00018459219427313656,0.00027021850110031664,301.0,367.0,0.09127151966094971,134.90736516987408,151.41904252791636,83699.0,1126.3717077970505,0.8290231661895933,0.9918999792611027,368.3092041015625,289.9942321777344,0.7873662372493072,19.14544105529785,0.014974221587181091,0.007477626204490662,0.08802744746208191,0.09550507366657257,0.5192645788192749,-0.7858490943908691,0.0002954430237878114,85.61714183891661,3.345769685333585,15.320447887817844,26.079888334521264,37.80004816944841,148.95588025659302,0.00020496467186603695,0.13924479484558105,0.06169436623167712,0.07522203457483556,84180.0,0.003536445296913152
