filename,status,flags,num_detections,coverage,convexity,aspect_ratio,thumbnail_path
mango14_fro_r.jpg,ok,coverage_too_small(0.037),1,0.0374,0.973,1.42,
mango14_fro_r_hor.jpg,ok,coverage_too_small(0.037),1,0.0375,0.9729,1.42,
mango14_fro_r_ver.jpg,ok,coverage_too_small(0.037),1,0.0373,0.9734,1.42,
mango14_sia_r.jpg,ok,coverage_too_small(0.030),1,0.0303,0.9667,1.24,
mango14_sia_r_ver.jpg,ok,coverage_too_small(0.030),1,0.0302,0.9695,1.24,
mango14_sib_r.jpg,ok,coverage_too_small(0.037),1,0.0372,0.9721,1.26,
mango14_sib_r_ver.jpg,ok,coverage_too_small(0.037),1,0.0373,0.9684,1.21,
mango14_top_r.jpg,ok,coverage_too_small(0.035),1,0.0355,0.9711,1.1,
mango14_top_r_hor.jpg,ok,coverage_too_small(0.035),1,0.0355,0.9736,1.14,
mango14_top_r_ver.jpg,ok,coverage_too_small(0.035),1,0.0351,0.9726,1.07,
mango15_bac_u.jpg,ok,coverage_too_small(0.046),1,0.0464,0.9732,1.41,
mango15_bac_u_hor.jpg,ok,coverage_too_small(0.046),1,0.046,0.9788,1.43,
mango15_bac_u_ver.jpg,ok,coverage_too_small(0.046),1,0.0461,0.9761,1.38,
mango15_bot_u.jpg,ok,coverage_too_small(0.031),1,0.0309,0.9669,1.19,
mango15_bot_u_hor.jpg,ok,coverage_too_small(0.031),1,0.0311,0.9751,1.24,
mango15_bot_u_ver.jpg,ok,coverage_too_small(0.031),1,0.0309,0.9726,1.24,
mango15_fro_u.jpg,ok,,1,0.0537,0.9775,1.53,
mango15_fro_u_hor.jpg,ok,,1,0.0533,0.9808,1.56,
mango15_fro_u_ver.jpg,ok,,1,0.0532,0.9768,1.5,
mango15_sia_u.jpg,ok,,1,0.0767,0.9747,1.26,
mango15_sia_u_ver.jpg,ok,,1,0.0764,0.9701,1.28,
mango15_sib_u.jpg,ok,,1,0.0811,0.9746,1.27,
mango15_sib_u_ver.jpg,ok,,1,0.0804,0.9798,1.22,
mango15_top_u.jpg,ok,coverage_too_small(0.045),1,0.0452,0.9789,1.27,
mango15_top_u_hor.jpg,ok,coverage_too_small(0.045),1,0.0453,0.9779,1.27,
mango15_top_u_ver.jpg,ok,coverage_too_small(0.045),1,0.0452,0.9787,1.27,
mango16_back_u.jpg,ok,coverage_too_small(0.046),1,0.0458,0.9783,1.43,
mango16_back_u_hor.jpg,ok,coverage_too_small(0.046),1,0.0457,0.9789,1.43,
mango16_back_u_ver.jpg,ok,coverage_too_small(0.045),1,0.0453,0.9772,1.43,
mango16_bot_u.jpg,ok,coverage_too_small(0.033),1,0.0331,0.9708,1.11,
mango16_bot_u_hor.jpg,ok,coverage_too_small(0.033),1,0.0333,0.9739,1.15,
mango16_bot_u_ver.jpg,ok,coverage_too_small(0.033),1,0.0332,0.9739,1.15,
mango16_fro_u.jpg,ok,coverage_too_small(0.047),1,0.0471,0.9773,1.5,
mango16_fro_u_hor.jpg,ok,coverage_too_small(0.047),1,0.0472,0.976,1.54,
mango16_fro_u_ver.jpg,ok,coverage_too_small(0.047),1,0.0472,0.9758,1.54,
mango16_sia_u.jpg,ok,,1,0.0575,0.968,1.2,
mango16_sia_u_ver.jpg,ok,,1,0.0571,0.9737,1.2,
mango16_sib_u.jpg,ok,coverage_too_small(0.040),1,0.04,0.9625,1.28,
mango16_sib_u_ver.jpg,ok,coverage_too_small(0.040),1,0.0396,0.9684,1.24,
mango16_top_u.jpg,ok,coverage_too_small(0.042),1,0.0423,0.9754,1.2,
mango16_top_u_hor.jpg,ok,coverage_too_small(0.042),1,0.0423,0.9762,1.2,
mango16_top_u_ver.jpg,ok,coverage_too_small(0.042),1,0.0422,0.9754,1.2,
mango17_bac_u.jpg,ok,coverage_too_small(0.026),1,0.0257,0.9573,1.3,
mango17_bac_u_hor.jpg,ok,coverage_too_small(0.026),1,0.0258,0.948,1.35,
mango17_bac_u_ver.jpg,ok,coverage_too_small(0.025),1,0.0249,0.9715,1.27,
mango17_bot_u.jpg,ok,coverage_too_small(0.035),1,0.0349,0.9717,1.07,
mango17_bot_u_hor.jpg,ok,coverage_too_small(0.035),1,0.0349,0.9702,1.1,
mango17_bot_u_ver.jpg,ok,coverage_too_small(0.035),1,0.0346,0.9736,1.11,
mango17_fro_u.jpg,ok,coverage_too_small(0.029),1,0.0286,0.971,1.2,
mango17_fro_u_hor.jpg,ok,coverage_too_small(0.028),1,0.0283,0.9714,1.25,
mango17_fro_u_ver.jpg,ok,coverage_too_small(0.028),1,0.0284,0.9695,1.2,
mango17_sia_u.jpg,flagged,multi_component(4 contours); coverage_too_small(0.035),1,0.0348,0.9446,1.21,audit_flagged/mango17_sia_u.jpg.png
mango17_sia_u_ver.jpg,ok,coverage_too_small(0.035),1,0.0346,0.9741,1.15,
mango17_sib_u.jpg,ok,coverage_too_small(0.024),1,0.0239,0.9408,1.21,
mango17_sib_u_ver.jpg,ok,coverage_too_small(0.023),1,0.0231,0.9546,1.13,
mango17_top_u.jpg,ok,coverage_too_small(0.034),1,0.0341,0.9716,1.11,
mango17_top_u_hor.jpg,ok,coverage_too_small(0.034),1,0.0341,0.9721,1.11,
mango17_top_u_ver.jpg,ok,coverage_too_small(0.034),1,0.0338,0.9747,1.07,
mango18_bac_u.jpg,ok,coverage_too_small(0.029),1,0.0287,0.9703,1.35,
mango18_bac_u_hor.jpg,ok,coverage_too_small(0.029),1,0.0285,0.9675,1.29,
mango18_bac_u_ver.jpg,ok,coverage_too_small(0.028),1,0.0285,0.9716,1.35,
mango18_bot_u.jpg,ok,coverage_too_small(0.024),1,0.0244,0.9691,1.27,
mango18_bot_u_hor.jpg,ok,coverage_too_small(0.025),1,0.0246,0.9672,1.22,
mango18_bot_u_ver.jpg,ok,coverage_too_small(0.024),1,0.0244,0.9698,1.27,
mango18_fro_u.jpg,ok,coverage_too_small(0.031),1,0.0308,0.9721,1.43,
mango18_fro_u_hor.jpg,ok,coverage_too_small(0.031),1,0.0312,0.9708,1.42,
mango18_fro_u_ver.jpg,ok,coverage_too_small(0.031),1,0.0309,0.9703,1.37,
mango18_sia_u.jpg,ok,coverage_too_small(0.028),1,0.0278,0.9708,1.12,
mango18_sia_u_ver.jpg,ok,coverage_too_small(0.028),1,0.0277,0.9658,1.04,
mango18_sib_u.jpg,ok,coverage_too_small(0.032),1,0.0319,0.9695,1.07,
mango18_sib_u_ver.jpg,ok,coverage_too_small(0.032),1,0.0318,0.9693,1.07,
mango18_top_u.jpg,ok,coverage_too_small(0.028),1,0.0282,0.9719,1.25,
mango18_top_u_hor.jpg,ok,coverage_too_small(0.028),1,0.0282,0.9717,1.25,
mango18_top_u_ver.jpg,ok,coverage_too_small(0.028),1,0.0277,0.9728,1.17,
mango19_bac_u.jpg,ok,coverage_too_small(0.022),1,0.0224,0.9618,1.33,
mango19_bac_u_hor.jpg,ok,coverage_too_small(0.022),1,0.0225,0.9648,1.4,
mango19_bac_u_ver.jpg,ok,coverage_too_small(0.022),1,0.0223,0.9619,1.33,
mango19_bot_u.jpg,ok,coverage_too_small(0.021),1,0.0212,0.9646,1.24,
mango19_bot_u_hor.jpg,ok,coverage_too_small(0.021),1,0.0214,0.9677,1.24,
mango19_bot_u_ver.jpg,ok,coverage_too_small(0.021),1,0.0212,0.9664,1.24,
mango19_fro_u.jpg,ok,coverage_too_small(0.027),1,0.0267,0.9686,1.41,
mango19_fro_u_hor.jpg,ok,coverage_too_small(0.027),1,0.0269,0.9672,1.35,
mango19_fro_u_ver.jpg,ok,coverage_too_small(0.027),1,0.0265,0.9676,1.41,
mango19_sia_u.jpg,ok,coverage_too_small(0.037),1,0.037,0.9709,1.18,
mango19_sia_u_ver.jpg,ok,coverage_too_small(0.037),1,0.0366,0.9708,1.18,
mango19_sib_u.jpg,ok,coverage_too_small(0.043),1,0.0434,0.9605,1.2,
mango19_sib_u_ver.jpg,ok,coverage_too_small(0.043),1,0.043,0.9672,1.16,
mango19_top_u.jpg,ok,coverage_too_small(0.033),1,0.0327,0.975,1.19,
mango19_top_u_hor.jpg,ok,coverage_too_small(0.033),1,0.0327,0.9733,1.19,
mango19_top_u_ver.jpg,ok,coverage_too_small(0.032),1,0.0324,0.9743,1.19,
mango1_sia_r.jpg,ok,coverage_too_small(0.031),1,0.0305,0.9587,1.15,
mango1_sia_r_ver.jpg,ok,coverage_too_small(0.030),1,0.0301,0.9678,1.12,
mango1_sib_r.jpg,ok,,1,0.0659,0.9727,1.22,
mango1_sib_r_ver.jpg,ok,,1,0.0655,0.9788,1.22,
mango20_bac_r.jpg,ok,coverage_too_small(0.023),1,0.023,0.968,1.45,
mango20_bac_r_hor.jpg,ok,coverage_too_small(0.023),1,0.0229,0.9666,1.45,
mango20_bac_r_ver.jpg,ok,coverage_too_small(0.023),1,0.0229,0.9664,1.45,
mango20_bot_r.jpg,ok,coverage_too_small(0.019),1,0.0186,0.9634,1.1,
mango20_bot_r_hor.jpg,ok,coverage_too_small(0.018),1,0.0185,0.9627,1.2,
mango20_bot_r_ver.jpg,ok,coverage_too_small(0.018),1,0.0185,0.964,1.1,
mango20_fro_r.jpg,ok,coverage_too_small(0.027),1,0.0273,0.967,1.45,
mango20_fro_r_hor.jpg,ok,coverage_too_small(0.027),1,0.0274,0.9653,1.45,
mango20_fro_r_ver.jpg,ok,coverage_too_small(0.027),1,0.0271,0.9698,1.52,
mango20_sia_r.jpg,ok,coverage_too_small(0.038),1,0.0378,0.9678,1.26,
mango20_sia_r_ver.jpg,ok,coverage_too_small(0.038),1,0.0378,0.9645,1.21,
mango20_sib_r.jpg,ok,coverage_too_small(0.036),1,0.0365,0.9627,1.14,
mango20_sib_r_ver.jpg,ok,coverage_too_small(0.036),1,0.0364,0.9639,1.14,
mango20_top_r.jpg,ok,coverage_too_small(0.020),1,0.0203,0.9635,1.19,
mango20_top_r_hor.jpg,ok,coverage_too_small(0.020),1,0.0203,0.9659,1.19,
mango20_top_r_ver.jpg,ok,coverage_too_small(0.020),1,0.0203,0.9636,1.19,
mango21_bac_u.jpg,ok,coverage_too_small(0.024),1,0.0238,0.9692,1.33,
mango21_bac_u_hor.jpg,ok,coverage_too_small(0.024),1,0.0239,0.9687,1.33,
